DateTime,Wind,Solar
04.01.2023 04:00 - 04.01.2023 04:15 (CET/CEST),28984,2
04.01.2023 04:15 - 04.01.2023 04:30 (CET/CEST),29711,2
04.01.2023 04:30 - 04.01.2023 04:45 (CET/CEST),30354,2
04.01.2023 04:45 - 04.01.2023 05:00 (CET/CEST),30989,2
04.01.2023 05:00 - 04.01.2023 05:15 (CET/CEST),32822,3
04.01.2023 05:15 - 04.01.2023 05:30 (CET/CEST),33389,3
04.01.2023 05:30 - 04.01.2023 05:45 (CET/CEST),34268,3
04.01.2023 05:45 - 04.01.2023 06:00 (CET/CEST),35666,3
04.01.2023 06:00 - 04.01.2023 06:15 (CET/CEST),38384,2
04.01.2023 06:15 - 04.01.2023 06:30 (CET/CEST),40230,3
04.01.2023 06:30 - 04.01.2023 06:45 (CET/CEST),40857,3
04.01.2023 06:45 - 04.01.2023 07:00 (CET/CEST),41430,3
04.01.2023 07:00 - 04.01.2023 07:15 (CET/CEST),41732,2
04.01.2023 07:15 - 04.01.2023 07:30 (CET/CEST),42019,3
04.01.2023 07:30 - 04.01.2023 07:45 (CET/CEST),42209,3
04.01.2023 07:45 - 04.01.2023 08:00 (CET/CEST),42413,4
04.01.2023 08:00 - 04.01.2023 08:15 (CET/CEST),42499,18
04.01.2023 08:15 - 04.01.2023 08:30 (CET/CEST),42686,104
04.01.2023 08:30 - 04.01.2023 08:45 (CET/CEST),42833,364
04.01.2023 08:45 - 04.01.2023 09:00 (CET/CEST),42895,605
04.01.2023 09:00 - 04.01.2023 09:15 (CET/CEST),42932,879
04.01.2023 09:15 - 04.01.2023 09:30 (CET/CEST),43145,1164
04.01.2023 09:30 - 04.01.2023 09:45 (CET/CEST),43416,1498
04.01.2023 09:45 - 04.01.2023 10:00 (CET/CEST),43662,1874
04.01.2023 10:00 - 04.01.2023 10:15 (CET/CEST),43478,2123
04.01.2023 10:15 - 04.01.2023 10:30 (CET/CEST),43631,2220
04.01.2023 10:30 - 04.01.2023 10:45 (CET/CEST),43793,2358
04.01.2023 10:45 - 04.01.2023 11:00 (CET/CEST),43670,2457
04.01.2023 11:00 - 04.01.2023 11:15 (CET/CEST),43876,2438
04.01.2023 11:15 - 04.01.2023 11:30 (CET/CEST),43836,2446
04.01.2023 11:30 - 04.01.2023 11:45 (CET/CEST),43864,2471
04.01.2023 11:45 - 04.01.2023 12:00 (CET/CEST),43847,2452
04.01.2023 12:00 - 04.01.2023 12:15 (CET/CEST),43833,2413
04.01.2023 12:15 - 04.01.2023 12:30 (CET/CEST),44104,2362
04.01.2023 12:30 - 04.01.2023 12:45 (CET/CEST),44267,2287
04.01.2023 12:45 - 04.01.2023 13:00 (CET/CEST),44301,2225
04.01.2023 13:00 - 04.01.2023 13:15 (CET/CEST),44319,2133
04.01.2023 13:15 - 04.01.2023 13:30 (CET/CEST),44437,2089
04.01.2023 13:30 - 04.01.2023 13:45 (CET/CEST),44331,2043
04.01.2023 13:45 - 04.01.2023 14:00 (CET/CEST),44104,1922
04.01.2023 14:00 - 04.01.2023 14:15 (CET/CEST),44128,1742
04.01.2023 14:15 - 04.01.2023 14:30 (CET/CEST),44063,1606
04.01.2023 14:30 - 04.01.2023 14:45 (CET/CEST),44161,1392
04.01.2023 14:45 - 04.01.2023 15:00 (CET/CEST),44187,1178
04.01.2023 15:00 - 04.01.2023 15:15 (CET/CEST),44247,933
04.01.2023 15:15 - 04.01.2023 15:30 (CET/CEST),44302,675
04.01.2023 15:30 - 04.01.2023 15:45 (CET/CEST),44334,457
04.01.2023 15:45 - 04.01.2023 16:00 (CET/CEST),44307,262
04.01.2023 16:00 - 04.01.2023 16:15 (CET/CEST),44146,104
04.01.2023 16:15 - 04.01.2023 16:30 (CET/CEST),43995,23
04.01.2023 16:30 - 04.01.2023 16:45 (CET/CEST),43995,3
04.01.2023 16:45 - 04.01.2023 17:00 (CET/CEST),44186,3
04.01.2023 17:00 - 04.01.2023 17:15 (CET/CEST),44384,3
04.01.2023 17:15 - 04.01.2023 17:30 (CET/CEST),44761,2
04.01.2023 17:30 - 04.01.2023 17:45 (CET/CEST),44949,2
04.01.2023 17:45 - 04.01.2023 18:00 (CET/CEST),44995,3
